name,coordinates,type,image
"UWI Faculty of Science and Technology, Natural Sciences Building","10.641463346315495, -61.4006677476528",faculty,https://sta.uwi.edu/fst/sites/default/files/fst/slideshow/FST_0.jpg
UWI Teaching and Learning Complex,"10.641779675782159, -61.396848282091135",building,https://sta.uwi.edu/cpo/images/5bigger.jpg
Faculty of Engineering,"10.639575907011181, -61.399991830994416",faculty,https://sta.uwi.edu/eng/sites/default/files/eng/images/ENGBlock1.jpg
U.W.I Student Administration Building,"10.641695321289797, -61.398704370692734",building,https://scontent.fpos3-1.fna.fbcdn.net/v/t1.6435-9/39083466_10155961863023893_3980497736276377600_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=yIZcyRuKmXoQ7kNvwGfQT3C&_nc_oc=Adnz0U3N9d-jAbfFRujG1ThrefGCEF7cZYFRcNTTiQMpzt9P37Cz_w_6fG-eGbE960I&_nc_zt=23&_nc_ht=scontent.fpos3-1.fna&_nc_gid=TwRpm9T7dlxydb-W18xLWA&oh=00_AfFTDzJ8ogQJTx5VKrftlGxEjfyqA-kWTs5Cz2mJv2Zs4g&oe=682E2966
U.W.I. Faculty Of Food And Agriculture,"10.64340349521157, -61.40095742622068",faculty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIE3pY-UkDpLW9dKXUFuTXKeQJ1r74J3fl2A&s
Sir Frank Worrell Field,"10.639607540172937, -61.395904144539955",field,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQG40t2u44P_Ts3bZOJJSgiKRPdlR6IZVtY0A&s
LRC Greens,"10.640440545465392, -61.39941247386205",field,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_kqBn0OoExAmiuwKoeRkMrCYU_WGkA7Bj-A&s
The Centre for Language Learning,"10.642718117940257, -61.39867218418858",building,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlKZnNx4hxZrjeWZ7IHO9W2Q2Yas3rmetPbA&s
JFK Lecture Theatre,"10.638866489605054, -61.399264955426275",classroom,https://live.staticflickr.com/6077/6031139729_4e4c5f2c79_b.jpg
JFK Auditorium,"10.639282058125957, -61.399471340265784",auditorium,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYp7f5fEt6qEtgaBKY-m6A0i-WZd_xqqRsew&s
Alma Jordan Library,"10.639514578360867, -61.3988421181941",library,https://upload.wikimedia.org/wikipedia/commons/6/6d/Alma_Jordan_Library_Building_-_forecourt.JPG
Chemistry Building C1,"10.642082183682021, -61.40165096556267",building,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu0SmIpToXU3Arq-0NFcCqiMId17DOVVL2xg&s
Chemistry Building C4,"10.642220705124595, -61.4010972501396",building,https://sta.uwi.edu/fst/chemistry/sites/default/files/chemistry/images/Undergrad%201.png
UWI Tennis Court,"10.642918258598712, -61.399964650406304",field,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiVBnFSNW0cK6VOtEgz0Y3dRleOkgSOZ9LPw&s
Learning Resource Center,"10.640518865871917, -61.39882198309737",classroom,https://sta.uwi.edu/researchexpo/archives/2013/images/venue1.jpg
Daaga Auditorium,"10.643165617580893, -61.3986306995836",auditorium,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSipuFb9Gp-aSFW72UxxLQcEwOAmhBUL-00Gg&s
Student Activity Centre,"10.639608575864656, -61.397759856237315",building,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPKhzd2EehClvLWPgcCaWqrEoNeb2u604Z9A&s
Heart Ease Car Park,"10.640717770615396, -61.397133172030316",car park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5BOzbA_JOW8Qm9mymrROCR2y-q7mESu5odg&s
JFK Car Park,"10.638435169536054, -61.39846224115176",car park,https://www.guardian.co.tt/image-3.4761886.374945.20231010184339.c51210a59b?size=512
